streets,zipcodes
beach street,10304.0
little clove road,
narrows road south,10305.0
ocean terrace,10301.0
bay st,10304.0
clove rd,
hylan blvd,
manor rd,
targee st,10304.0
todt hill rd,
van duzer street,10304.0
victory boulevard,10301.0
morgan ave,11211.0
park avenue,10016.0
8 ave,10026.0
kingsland avenue,11222.0
lewis ave,11221.0
humboldt street,11211.0
kent avenue,11249.0
ralph ave,11234.0
rockaway ave,11233.0
stuyvesant avenue,11221.0
throop avenue,10469.0
union avenue,11211.0
malcolm x blvd,
graham avenue,11222.0
greene avenue,11238.0
greenpoint avenue,11101.0
kingston ave,11213.0
3 ave,11420.0
4 ave,11435.0
5 ave,11364.0
6 ave,11215.0
7 ave,11377.0
new york ave,11210.0
quincy st,11238.0
smith st,11231.0
tompkins ave,11206.0
union st,11213.0
van brunt st,11231.0
vanderbilt ave,11238.0
washington ave,10040.0
putnam ave,11221.0
castleton avenue,10310.0
marcus garvey blvd,
franklin av,10456.0
franklin ave,10456.0
fulton avenue,10456.0
marcy avenue,11206.0
post avenue,10034.0
travis avenue,10314.0
woolley avenue,10314.0
brielle avenue,10314.0
bradley avenue,10314.0
delafield ave,10310.0
forest ave,11385.0
richmond avenue,10314.0
richmond ter,10301.0
remsen avenue,11212.0
liberty avenue,11419.0
stanley avenue,11207.0
veterans avenue,
bay ridge avenue,11219.0
new lots avenue,11207.0
schenck avenue,11207.0
sutter avenue,11417.0
fulton street,11233.0
richmond road,10306.0
richmond rd,
arthur kill road,10308.0
bloomingdale road,10309.0
225 street,10466.0
drumgoole road east,10309.0
foster road,10309.0
huguenot avenue,10312.0
drumgoole road west,10312.0
woodrow road,10312.0
amboy road,10308.0
amboy rd,
snyder ave,11203.0
annadale road,10312.0
arden avenue,10312.0
4th ave,
new utrecht avenue,11214.0
oriental boulevard,11235.0
shore blvd,
shore pkwy north,
shore pkwy south,
shore rd,
shore pkwy,
stillwell ave,11223.0
mc donald avenue,11218.0
ave h,
3 avenue,11420.0
4 avenue,11435.0
5 avenue,11364.0
6 avenue,11215.0
7 avenue,11377.0
new york avenue,11210.0
remsen ave,11212.0
clarkson ave,11203.0
winthrop st,11203.0
31 street,11420.0
39 avenue,11368.0
48 street,10031.0
crescent street,11105.0
broadway,10001.0
21 street,11415.0
vernon boulevard,11102.0
parsons boulevard,11366.0
jackson avenue,10456.0
hillside avenue,11435.0
northern boulevard,11354.0
roosevelt avenue,11372.0
58 street,11004.0
steinway street,11103.0
11 street,11101.0
164 street,11432.0
73 avenue,11364.0
fresh meadow lane,11365.0
hollis avenue,11412.0
bruckner boulevard,10454.0
so conduit ave,
castle hill avenue,10462.0
east tremont avenue,10460.0
westchester avenue,10459.0
east 174 street,
188 street,11423.0
fteley avenue,10472.0
calhoun avenue,10465.0
pennyfield avenue,10465.0
randall avenue,10473.0
rosedale avenue,10473.0
zerega avenue,10462.0
harrod avenue,10472.0
farmers boulevard,11412.0
francis lewis boulevard,11427.0
jamaica avenue,11435.0
linden boulevard,11226.0
main street,11201.0
merrick boulevard,11434.0
woodside ave,11377.0
58 avenue,11355.0
springfield boulevard,11429.0
union turnpike,11426.0
utopia parkway,11365.0
murdock ave nue,
murdock avenue,11412.0
115 avenue,11420.0
120 avenue,11436.0
forest avenue,11385.0
empire avenue,11691.0
seagirt blvd,
east fordham road,10458.0
east kingsbridge road,10468.0
pitman avenue,10466.0
southern boulevard,10459.0
dr m l king jr boulevard,10453.0
west fordham road,10468.0
laconia avenue,10466.0
webster avenue,10456.0
east 167 street,
east 170 street,
east 188 street,
jerome avenue,10468.0
ogden avenue,10452.0
valentine avenue,10458.0
washington avenue,10040.0
150 street,10039.0
arthur avenue,10458.0
east 165 street,
east 169 street,
east 181 street,
macombs road,10452.0
cross bay boulevard,11417.0
cedar avenue,10468.0
metropolitan avenue,10462.0
myrtle avenue,11385.0
guy r brewer boulevard,11434.0
rockaway boulevard,11420.0
sutphin boulevard,11435.0
101 avenue,11416.0
111 avenue,11420.0
brinkerhoff avenue,11435.0
31 avenue,11106.0
32 avenue,11369.0
34 avenue,11372.0
69 street,10452.0
63 drive,11374.0
65 place,11385.0
80 street,11209.0
bell boulevard,11361.0
caldwell avenue,11379.0
commonwealth boulevard,11426.0
cooper avenue,11385.0
east 134 street,
corona avenue,11368.0
douglaston parkway,11363.0
elmhurst avenue,11373.0
flushing avenue,11205.0
pelham parkway,10461.0
bronx park east,10467.0
atlantic avenue,11213.0
eastchester road,10461.0
laurel hill boulevard,11378.0
williamsbridge road,10461.0
allerton avenue,10469.0
braddock avenue,11426.0
108 street,11368.0
stillwell avenue,11223.0
astor avenue,10467.0
esplanade,10461.0
neill avenue,10462.0
pelham parkway north,10467.0
pelham parkway south,10461.0
white plains road,10462.0
cypress avenue,11385.0
eliot avenue,11379.0
fresh pond road,11378.0
grand avenue,10468.0
junction boulevard,11368.0
lefferts boulevard,11418.0
little neck parkway,11362.0
maurice avenue,11378.0
queens boulevard,11377.0
woodhaven boulevard,11374.0
cross island pkwy sr south,
59 avenue,11223.0
23 avenue,11369.0
45 avenue,11101.0
van cortlandt avenue east,10468.0
47 avenue,11377.0
booth memorial avenue,11355.0
35 avenue,11361.0
82 street,10453.0
mosholu parkway,10467.0
bartow avenue,10475.0
baychester avenue,10475.0
astoria boulevard,11103.0
114 street,10026.0
conner street,
east 138 street,
east 149 street,
east 163 street,
east gun hill road,10467.0
melrose avenue,10451.0
prospect avenue,10459.0
west 239 street,
riverdale avenue,10463.0
ave u,
bainbridge avenue,10467.0
