date,zipcode,time_block,traffic_volume,avg_travel_time
2012-01-08,10040,0,109.0,384.0
2012-01-08,10040,6,21.0,384.0
2012-01-08,10040,17,119.0,384.0
2012-01-08,10040,22,67.0,384.0
2012-01-08,10456,1,231.5,185.0
2012-01-08,10456,3,191.0,185.0
2012-01-08,10456,5,119.5,185.0
2012-01-08,10456,8,154.0,185.0
2012-01-08,10456,21,212.0,185.0
2012-01-09,10456,7,285.5,657.0
2012-01-09,10456,10,357.5,657.0
2012-01-09,11101,6,158.0,575.0
2012-01-09,11101,12,236.0,575.0
2012-01-09,11101,21,89.0,575.0
2012-01-09,11206,6,204.33333333333334,454.5
2012-01-09,11206,9,428.3333333333333,454.5
2012-01-09,11206,12,331.6666666666667,454.5
2012-01-09,11385,1,46.25,628.0
2012-01-09,11385,6,258.5,628.0
2012-01-09,11385,14,672.75,628.0
2012-01-09,11385,15,676.0,628.0
2012-01-09,11385,19,494.25,628.0
2012-01-09,11435,4,56.5,343.0
2012-01-09,11435,14,288.5,343.0
2012-01-09,11435,16,368.75,343.0
2012-01-09,11435,18,363.0,343.0
2012-01-09,11435,21,150.5,343.0
2012-01-10,11206,8,565.0,495.5
2012-01-10,11206,22,244.66666666666666,495.5
2012-01-10,11211,3,58.4,373.0
2012-01-10,11211,13,293.0,373.0
2012-01-10,11211,16,359.0,373.0
2012-01-10,11213,6,139.0,464.0
2012-01-10,11213,12,221.0,464.0
2012-01-10,11213,19,236.25,464.0
2012-01-10,11213,20,202.75,464.0
2012-01-10,11213,22,132.5,464.0
2012-01-10,11213,23,92.25,464.0
2012-01-10,11385,0,102.5,601.0
2012-01-10,11385,12,575.0,601.0
2012-01-10,11385,17,642.5,601.0
2012-01-10,11385,22,200.75,601.0
2012-01-11,11210,5,104.0,932.0
2012-01-11,11210,6,267.0,932.0
2012-01-11,11210,9,444.0,932.0
2012-01-11,11210,11,346.0,932.0
2012-01-11,11210,14,423.0,932.0
2012-01-11,11210,16,446.0,932.0
2012-01-11,11221,0,71.83333333333333,404.5
2012-01-11,11221,8,330.3333333333333,404.5
2012-01-11,11221,18,281.3333333333333,404.5
2012-01-12,10034,0,69.5,443.0
2012-01-12,10034,1,39.0,443.0
2012-01-12,10034,4,31.5,443.0
2012-01-12,10034,12,320.0,443.0
2012-01-12,10034,14,432.5,443.0
2012-01-12,10040,8,172.5,201.0
2012-01-12,10040,15,131.5,201.0
2012-01-12,11101,2,36.5,405.0
2012-01-12,11101,4,35.0,405.0
2012-01-12,11101,11,259.5,405.0
2012-01-12,11101,16,242.5,405.0
2012-01-12,11206,8,524.0,450.0
2012-01-12,11206,21,308.6666666666667,450.0
2012-01-12,11206,23,221.66666666666666,450.0
2012-01-12,11213,0,76.75,368.0
2012-01-12,11213,4,32.0,368.0
2012-01-12,11213,8,309.0,368.0
2012-01-12,11213,13,209.75,368.0
2012-01-13,10026,0,79.75,396.0
2012-01-13,10026,4,59.0,396.0
2012-01-13,10026,10,277.25,396.0
2012-01-13,10040,1,24.5,656.0
2012-01-13,10040,6,70.0,656.0
2012-01-13,10301,6,246.55555555555554,761.0
2012-01-13,10301,15,443.0,761.0
2012-01-13,10301,19,242.61111111111111,761.0
2012-01-13,10456,18,0.0,1193.0
2012-01-13,10456,21,0.0,1193.0
2012-01-13,11206,0,162.33333333333334,377.5
2012-01-13,11206,5,79.66666666666667,377.5
2012-01-13,11222,4,53.333333333333336,314.0
2012-01-13,11222,5,106.33333333333333,314.0
2012-01-13,11222,6,191.66666666666666,314.0
2012-01-13,11222,7,265.6666666666667,314.0
2012-01-13,11222,9,46.333333333333336,314.0
2012-01-13,11222,23,0.0,314.0
2012-01-13,11385,1,59.75,499.0
2012-01-13,11385,9,494.0,499.0
2012-01-13,11385,17,698.75,499.0
2012-01-13,11385,20,446.75,499.0
2012-01-14,10301,3,33.266666666666666,510.0
2012-01-17,10306,1,59.0,301.0
2012-01-17,10306,4,43.0,301.0
2012-01-17,10306,10,726.0,301.0
2012-01-17,10306,14,971.0,301.0
2012-01-17,10314,1,14.0,636.0
2012-01-17,10314,2,8.5,636.0
2012-01-17,10314,12,104.5,636.0
2012-01-17,10314,15,181.5,636.0
2012-01-17,10314,16,147.5,636.0
2012-01-17,11207,7,180.2,264.0
2012-01-17,11207,16,224.2,264.0
2012-01-17,11207,17,243.8,264.0
2012-01-17,11207,19,170.4,264.0
2012-01-17,11207,20,147.8,264.0
2012-01-17,11207,23,73.8,264.0
2012-01-17,11210,2,19.0,224.0
2012-01-17,11210,3,14.75,224.0
2012-01-17,11210,6,103.25,224.0
2012-01-17,11210,17,352.25,224.0
2012-01-17,11210,22,125.25,224.0
2012-01-17,11210,23,99.5,224.0
2012-01-18,11203,7,344.8333333333333,673.0
2012-01-18,11219,1,9.0,366.0
2012-01-18,11219,2,5.333333333333333,366.0
2012-01-18,11219,3,2.6666666666666665,366.0
2012-01-18,11219,6,36.666666666666664,366.0
2012-01-18,11219,8,121.0,366.0
2012-01-18,11219,19,97.0,366.0
2012-01-18,11223,4,12.0,485.0
2012-01-18,11223,8,242.0,485.0
2012-01-18,11223,11,198.5,485.0
2012-01-18,11223,16,200.5,485.0
2012-01-18,11223,21,83.0,485.0
2012-01-18,11235,0,4.5,210.0
2012-01-18,11235,5,14.0,210.0
2012-01-18,11235,10,227.0,210.0
2012-01-18,11235,14,137.5,210.0
2012-01-18,11235,16,162.5,210.0
